Date,Adj Close,Close,High,Low,Open,Volume
2019-11-13 00:00:00,12.5,12.5,32.5,12.0,30.0,136796
2019-11-14 00:00:00,12.5,12.5,12.5,11.5,12.5,27088
2019-11-15 00:00:00,11.5,11.5,13.0,11.5,12.5,23484
2019-11-18 00:00:00,11.5,11.5,12.5,10.5,12.0,23948
2019-11-19 00:00:00,11.0,11.0,12.5,11.0,12.0,80142
2019-11-20 00:00:00,18.5,18.5,25.0,16.0,19.0,1006360
2019-11-21 00:00:00,17.0,17.0,20.0,15.5,18.5,126076
2019-11-22 00:00:00,15.5,15.5,17.0,14.0,17.0,58646
2019-11-25 00:00:00,23.5,23.5,24.0,15.0,16.5,176588
2019-11-26 00:00:00,18.0,18.0,26.5,17.5,21.5,296172
2019-11-27 00:00:00,18.5,18.5,21.0,17.5,18.5,114324
2019-11-29 00:00:00,20.5,20.5,21.5,18.5,19.0,99686
2019-12-02 00:00:00,23.0,23.0,24.5,21.0,21.5,137624
2019-12-03 00:00:00,22.5,22.5,24.5,21.5,23.5,65500
2019-12-04 00:00:00,25.0,25.0,27.0,22.5,22.5,148778
2019-12-05 00:00:00,23.5,23.5,27.5,22.5,25.5,102212
2019-12-06 00:00:00,23.5,23.5,25.0,20.5,25.0,69268
2019-12-09 00:00:00,23.5,23.5,24.0,22.0,23.5,45776
2019-12-10 00:00:00,21.5,21.5,23.5,20.0,23.5,111710
2019-12-11 00:00:00,28.5,28.5,31.5,25.5,30.5,463734
2019-12-12 00:00:00,21.5,21.5,23.5,19.5,20.0,319812
2019-12-13 00:00:00,20.5,20.5,22.0,20.0,22.0,89726
2019-12-16 00:00:00,21.5,21.5,22.0,19.5,22.0,75372
2019-12-17 00:00:00,20.5,20.5,21.5,20.0,21.0,35640
2019-12-18 00:00:00,20.0,20.0,21.0,19.0,20.5,65932
2019-12-19 00:00:00,19.5,19.5,19.5,18.5,19.0,39820
2019-12-20 00:00:00,22.5,22.5,23.0,19.0,19.0,63034
2019-12-23 00:00:00,21.5,21.5,22.0,20.0,22.0,32398
2019-12-24 00:00:00,20.5,20.5,21.0,20.0,20.5,13152
2019-12-26 00:00:00,20.5,20.5,21.0,20.0,20.5,31260
2019-12-27 00:00:00,20.0,20.0,20.5,19.0,20.0,57702
2019-12-30 00:00:00,20.5,20.5,21.0,19.5,19.5,50308
2019-12-31 00:00:00,23.0,23.0,24.5,20.5,20.5,209874
2020-01-02 00:00:00,23.0,23.0,24.5,22.0,24.0,102452
2020-01-03 00:00:00,22.0,22.0,23.0,21.5,22.5,52594
2020-01-06 00:00:00,22.0,22.0,22.0,21.0,21.5,50150
2020-01-07 00:00:00,25.5,25.5,27.5,22.0,22.0,319032
2020-01-08 00:00:00,23.5,23.5,25.0,22.5,25.0,84762
2020-01-09 00:00:00,23.0,23.0,24.5,22.5,23.5,40476
2020-01-10 00:00:00,24.0,24.0,25.0,23.0,24.0,77490
2020-01-13 00:00:00,26.0,26.0,26.5,24.0,24.0,91540
2020-01-14 00:00:00,26.0,26.0,28.5,25.5,27.0,127290
2020-01-15 00:00:00,24.5,24.5,26.5,23.0,26.0,77856
2020-01-16 00:00:00,24.5,24.5,25.5,23.5,24.0,45740
2020-01-17 00:00:00,25.5,25.5,26.0,24.0,25.0,57254
2020-01-21 00:00:00,25.0,25.0,26.0,24.5,25.5,47318
2020-01-22 00:00:00,24.5,24.5,25.5,23.0,24.5,46016
2020-01-23 00:00:00,24.5,24.5,24.5,23.5,24.0,26288
2020-01-24 00:00:00,24.0,24.0,25.0,22.5,24.5,34344
2020-01-27 00:00:00,22.0,22.0,24.5,22.0,23.5,24306
2020-01-28 00:00:00,21.5,21.5,22.5,20.5,22.0,37762
2020-01-29 00:00:00,22.5,22.5,23.0,21.5,22.0,20028
2020-01-30 00:00:00,21.0,21.0,23.0,20.5,23.0,18052
2020-01-31 00:00:00,21.5,21.5,22.5,21.0,21.5,16352
2020-02-03 00:00:00,21.0,21.0,21.5,20.5,21.0,18462
2020-02-04 00:00:00,21.0,21.0,21.5,20.5,21.5,17670
2020-02-05 00:00:00,22.0,22.0,22.5,21.0,21.5,16594
2020-02-06 00:00:00,24.0,24.0,24.5,21.5,22.0,51502
2020-02-07 00:00:00,22.0,22.0,25.0,22.0,24.5,53298
2020-02-10 00:00:00,21.5,21.5,22.0,21.0,22.0,30932
2020-02-11 00:00:00,22.0,22.0,22.5,21.5,22.0,20680
2020-02-12 00:00:00,21.5,21.5,22.5,21.5,22.0,16294
2020-02-13 00:00:00,21.0,21.0,21.5,21.0,21.5,14558
2020-02-14 00:00:00,20.5,20.5,21.0,20.0,21.0,30844
2020-02-18 00:00:00,20.0,20.0,20.5,19.5,20.0,19744
2020-02-19 00:00:00,19.5,19.5,20.0,19.0,20.0,20410
2020-02-20 00:00:00,20.5,20.5,22.0,19.5,19.5,24528
2020-02-21 00:00:00,20.5,20.5,21.0,19.5,20.5,16516
2020-02-24 00:00:00,20.5,20.5,20.5,19.5,20.0,20868
2020-02-25 00:00:00,20.0,20.0,21.5,19.5,20.0,23384
2020-02-26 00:00:00,19.0,19.0,20.5,19.0,20.0,26990
2020-02-27 00:00:00,18.0,18.0,19.0,15.5,19.0,36150
2020-02-28 00:00:00,20.5,20.5,21.5,16.0,16.5,46904
2020-03-02 00:00:00,21.0,21.0,21.5,19.5,21.5,28104
2020-03-03 00:00:00,22.0,22.0,26.0,20.5,21.0,165238
2020-03-04 00:00:00,21.0,21.0,22.5,20.5,21.5,38474
2020-03-05 00:00:00,20.0,20.0,21.0,20.0,20.5,17208
2020-03-06 00:00:00,20.0,20.0,21.0,18.5,20.5,23178
2020-03-09 00:00:00,17.5,17.5,19.5,17.5,18.5,24730
2020-03-10 00:00:00,17.0,17.0,18.5,16.5,18.5,16134
2020-03-11 00:00:00,17.0,17.0,18.5,16.5,17.5,22766
2020-03-12 00:00:00,14.5,14.5,16.5,14.0,16.0,26336
2020-03-13 00:00:00,15.5,15.5,17.5,14.0,15.5,14606
2020-03-16 00:00:00,13.0,13.0,15.0,13.0,15.0,20578
2020-03-17 00:00:00,14.0,14.0,15.0,12.5,12.5,18214
2020-03-18 00:00:00,14.0,14.0,16.0,13.0,15.0,23434
2020-03-19 00:00:00,14.0,14.0,14.5,12.5,12.5,10586
2020-03-20 00:00:00,15.0,15.0,16.0,14.0,14.0,17822
2020-03-23 00:00:00,15.0,15.0,18.0,15.0,15.0,12664
2020-03-24 00:00:00,15.0,15.0,16.0,14.5,15.5,18898
2020-03-25 00:00:00,15.0,15.0,16.0,14.0,15.5,20290
2020-03-26 00:00:00,14.5,14.5,15.5,14.5,14.5,13294
2020-03-27 00:00:00,15.0,15.0,15.0,14.0,15.0,16950
2020-03-30 00:00:00,17.0,17.0,17.0,14.5,15.0,39666
2020-03-31 00:00:00,16.0,16.0,17.0,15.0,17.0,14750
2020-04-01 00:00:00,25.5,25.5,37.0,23.5,27.5,2484372
2020-04-02 00:00:00,20.5,20.5,27.5,19.5,27.0,334046
2020-04-03 00:00:00,21.5,21.5,22.5,17.5,19.0,157990
2020-04-06 00:00:00,20.5,20.5,22.0,19.0,22.0,82940
2020-04-07 00:00:00,20.0,20.0,20.5,18.5,19.0,60906
2020-04-08 00:00:00,19.5,19.5,20.0,19.0,19.5,39916
2020-04-09 00:00:00,20.0,20.0,20.5,19.0,19.0,56984
2020-04-13 00:00:00,21.5,21.5,23.5,20.0,20.5,79968
2020-04-14 00:00:00,23.5,23.5,25.5,21.5,22.5,129592
2020-04-15 00:00:00,23.0,23.0,24.5,21.5,23.5,50846
2020-04-16 00:00:00,23.5,23.5,26.0,22.5,23.5,88388
2020-04-17 00:00:00,23.0,23.0,24.5,22.5,23.5,43842
2020-04-20 00:00:00,22.0,22.0,23.0,20.5,22.5,44334
2020-04-21 00:00:00,21.0,21.0,22.0,20.0,22.0,56706
2020-04-22 00:00:00,22.0,22.0,22.5,20.5,20.5,19630
2020-04-23 00:00:00,21.5,21.5,22.5,21.5,21.5,22770
2020-04-24 00:00:00,22.0,22.0,23.0,21.5,22.0,22494
2020-04-27 00:00:00,25.0,25.0,33.5,24.5,33.0,649982
2020-04-28 00:00:00,26.0,26.0,27.5,24.0,27.5,97402
2020-04-29 00:00:00,26.0,26.0,26.0,24.0,24.5,58418
2020-04-30 00:00:00,25.0,25.0,26.0,24.5,25.5,33096
2020-05-01 00:00:00,25.5,25.5,26.5,24.5,25.0,47982
2020-05-04 00:00:00,26.0,26.0,26.5,25.0,26.0,31952
2020-05-05 00:00:00,29.0,29.0,36.5,28.5,31.5,596600
2020-05-06 00:00:00,25.5,25.5,27.0,24.0,25.0,192544
2020-05-07 00:00:00,29.0,29.0,30.5,25.5,26.0,125386
2020-05-08 00:00:00,30.5,30.5,30.5,28.0,29.5,62152
2020-05-11 00:00:00,37.0,37.0,38.0,31.0,33.0,220092
2020-05-12 00:00:00,42.5,42.5,48.0,39.0,40.0,278048
2020-05-13 00:00:00,39.5,39.5,43.0,36.0,40.5,121550
2020-05-14 00:00:00,51.0,51.0,51.5,38.0,39.0,193276
2020-05-15 00:00:00,67.5,67.5,76.5,57.0,57.5,832742
2020-05-18 00:00:00,55.5,55.5,59.0,49.0,53.0,738978
2020-05-19 00:00:00,53.5,53.5,58.5,52.5,57.5,156712
2020-05-20 00:00:00,53.0,53.0,56.0,50.0,55.5,210248
2020-05-21 00:00:00,52.0,52.0,53.0,50.5,53.0,88568
2020-05-22 00:00:00,62.0,62.0,65.0,51.5,53.0,179720
2020-05-26 00:00:00,60.5,60.5,76.0,58.0,72.0,601228
2020-05-27 00:00:00,60.5,60.5,63.5,57.0,58.5,148298
2020-05-28 00:00:00,64.5,64.5,67.5,61.0,61.5,161368
2020-05-29 00:00:00,65.0,65.0,67.5,62.5,63.0,75398
2020-06-01 00:00:00,62.0,62.0,64.5,58.5,62.5,92012
2020-06-02 00:00:00,56.5,56.5,60.0,55.0,59.5,114210
2020-06-03 00:00:00,58.0,58.0,59.0,55.5,56.5,55546
2020-06-04 00:00:00,53.0,53.0,57.0,50.0,56.0,123876
2020-06-05 00:00:00,56.0,56.0,60.0,52.0,52.0,104364
2020-06-08 00:00:00,57.5,57.5,59.0,54.0,57.0,73954
2020-06-09 00:00:00,57.0,57.0,57.5,54.0,57.0,50226
2020-06-10 00:00:00,54.0,54.0,57.0,53.0,55.0,62956
2020-06-11 00:00:00,51.0,51.0,53.5,44.0,53.0,101222
2020-06-12 00:00:00,47.5,47.5,52.0,45.5,52.0,87948
2020-06-15 00:00:00,49.0,49.0,50.5,42.5,45.5,82956
2020-06-16 00:00:00,48.5,48.5,52.5,48.0,52.0,38610
2020-06-17 00:00:00,50.0,50.0,51.5,48.5,51.5,64092
2020-06-18 00:00:00,54.0,54.0,56.0,51.0,52.5,68626
2020-06-19 00:00:00,51.0,51.0,55.0,51.0,55.0,59912
2020-06-22 00:00:00,50.5,50.5,54.0,50.0,53.5,40614
2020-06-23 00:00:00,50.5,50.5,52.0,48.5,50.5,42518
2020-06-24 00:00:00,50.0,50.0,50.5,47.5,50.5,39220
