Date,Close,Volume,Daily Returns,Monthly Moving Average,Quarterly Moving Average,lag_1,lag_2,lag_3,lag_4,lag_5,label
2018-01-16,-1.3044292026652102,-0.10848826565466745,-1.4741011866227478,-1.293277658437704,-1.3095595927138555,-1.281822419879208,-1.281822419879208,-1.2874741357877426,-1.2874741357877426,-1.281822419879208,0
2018-01-17,-1.2931258247468986,-0.1436443272031359,0.6969217019501454,-1.2912350228638803,-1.3056725023637785,-1.3044292026652102,-1.281822419879208,-1.281822419879208,-1.2874741357877426,-1.2874741357877426,1
2018-01-18,-1.2931258247468986,-0.13822798676485548,-0.06162788313505841,-1.2894647384401652,-1.3028497348285335,-1.2931258247468986,-1.3044292026652102,-1.281822419879208,-1.281822419879208,-1.2874741357877426,1
2018-01-19,-1.2931258247468986,-0.1357705730474875,-0.06162788313505841,-1.2878306302408409,-1.2996104926494805,-1.2931258247468986,-1.2931258247468986,-1.3044292026652102,-1.281822419879208,-1.281822419879208,1
2018-01-22,-1.2761707309200523,-0.13737541465882985,1.035561691574252,-1.2861965220415164,-1.2960010513264228,-1.2931258247468986,-1.2931258247468986,-1.2931258247468986,-1.3044292026652102,-1.281822419879208,1
2018-01-23,-1.2761707309200523,-0.13592102694855085,-0.06162788313505841,-1.2838815353175839,-1.2924841601203503,-1.2761707309200523,-1.2931258247468986,-1.2931258247468986,-1.2931258247468986,-1.3044292026652102,1
2018-01-24,-1.2705190419608965,-0.1028713200149692,0.28550497835567645,-1.281294197443543,-1.288597070211585,-1.2761707309200523,-1.2761707309200523,-1.2931258247468986,-1.2931258247468986,-1.2931258247468986,1
2018-01-25,-1.2676931840066292,-0.1408358543832868,0.10904659035952337,-1.2804771426945445,-1.2841546813661575,-1.2705190419608965,-1.2761707309200523,-1.2761707309200523,-1.2931258247468986,-1.2931258247468986,1
2018-01-26,-1.230957192297427,-0.09900966988767665,2.138793590695258,-1.2769365738471143,-1.279989942430373,-1.2676931840066292,-1.2705190419608965,-1.2761707309200523,-1.2761707309200523,-1.2931258247468986,1
2018-01-29,-1.2535639481340501,-0.12854878579644688,-1.2843645841530487,-1.2723066003992496,-1.2760565774631152,-1.230957192297427,-1.2676931840066292,-1.2705190419608965,-1.2761707309200523,-1.2761707309200523,0
2018-01-30,-1.259215664042585,-0.12127684724505185,-0.38672210852048444,-1.2687660328504922,-1.2718918385273306,-1.2535639481340501,-1.230957192297427,-1.2676931840066292,-1.2705190419608965,-1.2761707309200523,0
2018-01-31,-1.2479122591748943,-0.10743508834722403,0.5990459432922017,-1.2633190046536291,-1.2680972982942385,-1.259215664042585,-1.2535639481340501,-1.230957192297427,-1.2676931840066292,-1.2705190419608965,1
2018-02-01,-1.2479122591748943,-0.14519901751412384,-0.06162788313505841,-1.2588252061314824,-1.2639325589171424,-1.2479122591748943,-1.259215664042585,-1.2535639481340501,-1.230957192297427,-1.2676931840066292,1
2018-02-02,-1.2422605702157385,-0.1294013579024725,0.25838522395582886,-1.2544675838337263,-1.2595827197473881,-1.2479122591748943,-1.2479122591748943,-1.259215664042585,-1.2535639481340501,-1.230957192297427,1
2018-02-05,-1.2366088812565827,-0.1013166297039813,0.25346195008040284,-1.2494290830113624,-1.2551403309019606,-1.2422605702157385,-1.2479122591748943,-1.2479122591748943,-1.259215664042585,-1.2535639481340501,1
2018-02-06,-1.230957192297427,-0.13983282837619782,0.24868786618229408,-1.245343811863715,-1.250883041849191,-1.2366088812565827,-1.2422605702157385,-1.2479122591748943,-1.2479122591748943,-1.259215664042585,1
2018-02-07,-1.2281313343431597,-0.12533910257376218,0.0912149333007527,-1.2410134253303062,-1.2467183024720947,-1.230957192297427,-1.2366088812565827,-1.2422605702157385,-1.2479122591748943,-1.2479122591748943,1
2018-02-08,-1.2705190419608965,-0.040432951073680674,-2.3372788488099467,-1.2372005053327673,-1.2425535626536868,-1.2281313343431597,-1.230957192297427,-1.2366088812565827,-1.2422605702157385,-1.2479122591748943,0
2018-02-09,-1.2140020984705806,-0.10347313561922258,3.351848565377274,-1.2332514104095105,-1.2383888232765905,-1.2705190419608965,-1.2281313343431597,-1.230957192297427,-1.2366088812565827,-1.2422605702157385,1
2018-02-12,-1.1857436267254227,-0.07127600079166657,1.401290594798797,-1.2316173009115134,-1.235149581538849,-1.2140020984705806,-1.2705190419608965,-1.2281313343431597,-1.230957192297427,-1.2366088812565827,1
2018-02-13,-1.2083504095114248,-0.10688342404332508,-1.1539406070865894,-1.2283490845128646,-1.2313550408644451,-1.1857436267254227,-1.2140020984705806,-1.2705190419608965,-1.2281313343431597,-1.230957192297427,0
2018-02-14,-1.1913953156845787,-0.14234039339392027,0.8037610740854901,-1.221267946818004,-1.227560500631353,-1.2083504095114248,-1.1857436267254227,-1.2140020984705806,-1.2705190419608965,-1.2281313343431597,1
2018-02-15,-1.1998728625980017,-0.14279175509711028,-0.4767806827669421,-1.2147315127220337,-1.2238122354567533,-1.1913953156845787,-1.2083504095114248,-1.1857436267254227,-1.2140020984705806,-1.2705190419608965,0
2018-02-16,-1.202698720552269,-0.13426603403685403,-0.20287572326850473,-1.2105100666486683,-1.220063969840842,-1.1998728625980017,-1.1913953156845787,-1.2083504095114248,-1.1857436267254227,-1.2140020984705806,0
2018-02-20,-1.1885694846796901,-0.13140740991665045,0.6495130624771448,-1.2061524430522397,-1.2164545289590962,-1.202698720552269,-1.1998728625980017,-1.1913953156845787,-1.2083504095114248,-1.1857436267254227,1
2018-02-21,-1.1913953156845787,-0.12759591108971235,-0.1990825275847765,-1.2007054135567037,-1.212845088518662,-1.1885694846796901,-1.202698720552269,-1.1998728625980017,-1.1913953156845787,-1.2083504095114248,0
2018-02-22,-1.1863088090960276,-0.13777662506166544,0.18746274085657474,-1.1955307352112763,-1.2090968233440624,-1.1913953156845787,-1.1885694846796901,-1.202698720552269,-1.1998728625980017,-1.1913953156845787,1
2018-02-23,-1.1913953156845787,-0.1358708756481964,-0.3077254395596892,-1.1894028284898053,-1.204932083966966,-1.1863088090960276,-1.1913953156845787,-1.1885694846796901,-1.202698720552269,-1.1998728625980017,0
2018-02-26,-1.1857436267254227,-0.1463023461219217,0.21514021004140654,-1.1798705291452947,-1.200952443941216,-1.1913953156845787,-1.1863088090960276,-1.1913953156845787,-1.1885694846796901,-1.202698720552269,1
2018-02-27,-1.1970470046437345,-0.12604122077872446,-0.6077835940418581,-1.173334096347997,-1.1965100550957886,-1.1857436267254227,-1.1913953156845787,-1.1863088090960276,-1.1913953156845787,-1.1885694846796901,0
2018-02-28,-1.1857436267254227,-0.11550944770429025,0.4994909832726201,-1.1685679466757417,-1.192160216367346,-1.1970470046437345,-1.1857436267254227,-1.1913953156845787,-1.1863088090960276,-1.1913953156845787,1
2018-03-01,-1.1122715894082607,-0.02528725836663719,3.4883881441729354,-1.1623038650285527,-1.1874401789362108,-1.1857436267254227,-1.1970470046437345,-1.1857436267254227,-1.1913953156845787,-1.1863088090960276,1
2018-03-02,-1.1122715894082607,-0.08311170767531645,-0.06162788313505841,-1.1574015404305793,-1.1823499423610715,-1.1122715894082607,-1.1857436267254227,-1.1970470046437345,-1.1857436267254227,-1.1913953156845787,1
2018-03-05,-1.1603110129345322,-0.10272086611390585,-2.0398934880119044,-1.1518183360093253,-1.1775373543716399,-1.1122715894082607,-1.1122715894082607,-1.1857436267254227,-1.1970470046437345,-1.1857436267254227,0
2018-03-06,-1.1518334390717304,-0.11255052098337778,0.32480489631257176,-1.1452819006146824,-1.1729098657335544,-1.1603110129345322,-1.1122715894082607,-1.1122715894082607,-1.1857436267254227,-1.1970470046437345,1
