Date,Close,lag_1,label
2019-06-03,129.75,136.0,1
2019-06-04,140.75,129.75,0
2019-06-05,131.0,140.75,1
2019-06-06,132.25,131.0,0
2019-06-07,132.5,132.25,0
2019-06-10,135.75,132.5,0
2019-06-11,131.5,135.75,1
2019-06-12,134.5,131.5,0
2019-06-13,133.0,134.5,1
2019-06-14,129.25,133.0,1
2019-06-17,134.25,129.25,0
2019-06-18,125.25,134.25,1
2019-06-19,122.25,125.25,1
2019-06-20,119.0,122.25,1
2019-06-21,115.5,119.0,1
2019-06-24,110.75,115.5,1
2019-06-25,115.25,110.75,0
2019-06-26,112.75,115.25,1
2019-06-27,119.0,112.75,0
2019-06-28,119.5,119.0,0
2019-07-01,119.25,119.5,1
2019-07-02,119.0,119.25,1
2019-07-03,115.25,119.0,1
2019-07-05,114.0,115.25,1
2019-07-08,110.0,114.0,1
2019-07-09,109.0,110.0,1
2019-07-10,107.25,109.0,1
2019-07-11,108.5,107.25,0
2019-07-12,104.5,108.5,1
2019-07-15,105.5,104.5,0
2019-07-16,99.75,105.5,1
2019-07-17,98.0,99.75,1
2019-07-18,96.0,98.0,1
2019-07-19,93.5,96.0,1
2019-07-22,93.0,93.5,1
2019-07-23,88.75,93.0,1
2019-07-24,92.5,88.75,0
2019-07-25,81.25,92.5,1
2019-07-26,79.5,81.25,1
2019-07-29,75.0,79.5,1
2019-07-30,74.5,75.0,1
2019-07-31,64.75,74.5,1
2019-08-01,63.0,64.75,1
2019-08-02,60.5,63.0,1
2019-08-05,61.0,60.5,0
2019-08-06,60.5,61.0,1
2019-08-07,61.25,60.5,0
2019-08-08,57.0,61.25,1
2019-08-09,57.25,57.0,0
2019-08-12,57.0,57.25,1
2019-08-13,59.75,57.0,0
2019-08-14,60.75,59.75,0
2019-08-15,54.25,60.75,1
2019-08-16,55.0,54.25,0
2019-08-19,55.75,55.0,0
2019-08-20,54.75,55.75,1
2019-08-21,55.0,54.75,0
2019-08-22,51.0,55.0,1
2019-08-23,45.75,51.0,1
2019-08-26,47.0,45.75,0
2019-08-27,43.25,47.0,1
2019-08-28,44.75,43.25,0
2019-08-29,45.5,44.75,0
2019-08-30,38.5,45.5,1
2019-09-03,73.5,38.5,0
2019-09-04,74.25,73.5,0
2019-09-05,75.25,74.25,0
2019-09-06,74.5,75.25,1
2019-09-09,75.25,74.5,0
2019-09-10,79.25,75.25,0
2019-09-11,78.0,79.25,1
2019-09-12,78.5,78.0,0
2019-09-13,74.25,78.5,1
2019-09-16,74.75,74.25,0
2019-09-17,73.0,74.75,1
2019-09-18,80.0,73.0,0
2019-09-19,81.0,80.0,0
2019-09-20,81.5,81.0,0
2019-09-23,71.75,81.5,1
2019-09-24,69.0,71.75,1
2019-09-25,64.75,69.0,1
2019-09-26,58.5,64.75,1
2019-09-27,61.5,58.5,0
2019-09-30,56.5,61.5,1
2019-10-01,57.0,56.5,0
2019-10-02,55.5,57.0,1
2019-10-03,56.5,55.5,0
2019-10-04,56.25,56.5,1
2019-10-07,59.5,56.25,0
2019-10-08,57.25,59.5,1
2019-10-09,55.25,57.25,1
2019-10-10,55.0,55.25,1
2019-10-11,56.0,55.0,0
2019-10-14,54.25,56.0,1
2019-10-15,67.75,54.25,0
2019-10-16,61.0,67.75,1
2019-10-17,56.5,61.0,1
2019-10-18,54.25,56.5,1
2019-10-21,56.5,54.25,0
2019-10-22,59.75,56.5,0
2019-10-23,59.75,59.75,0
2019-10-24,57.0,59.75,1
2019-10-25,62.5,57.0,0
2019-10-28,64.25,62.5,0
2019-10-29,62.5,64.25,1
2019-10-30,62.75,62.5,0
2019-10-31,59.25,62.75,1
2019-11-01,63.25,59.25,0
2019-11-04,66.25,63.25,0
2019-11-05,67.0,66.25,0
2019-11-06,65.25,67.0,1
2019-11-07,68.0,65.25,0
2019-11-08,65.75,68.0,1
2019-11-11,62.25,65.75,1
2019-11-12,57.25,62.25,1
2019-11-13,58.25,57.25,0
2019-11-14,56.75,58.25,1
2019-11-15,58.0,56.75,0
2019-11-18,55.75,58.0,1
2019-11-19,58.25,55.75,0
2019-11-20,60.75,58.25,0
2019-11-21,60.5,60.75,1
2019-11-22,64.5,60.5,0
2019-11-25,71.75,64.5,0
2019-11-26,73.25,71.75,0
2019-11-27,85.0,73.25,0
2019-11-29,84.25,85.0,1
2019-12-02,85.25,84.25,0
2019-12-03,81.25,85.25,1
2019-12-04,74.75,81.25,1
2019-12-05,69.0,74.75,1
2019-12-06,75.0,69.0,0
2019-12-09,73.5,75.0,1
2019-12-10,82.0,73.5,0
2019-12-11,100.5,82.0,0
2019-12-12,99.75,100.5,1
2019-12-13,91.25,99.75,1
2019-12-16,105.5,91.25,0
2019-12-17,103.25,105.5,1
2019-12-18,98.5,103.25,1
2019-12-19,125.0,98.5,0
2019-12-20,78.0,125.0,1
2019-12-23,90.75,78.0,0
2019-12-24,90.0,90.75,1
2019-12-26,90.0,90.0,0
